X Position,Y Position,GR Shear Correlation,DGQG Shear Correlation,Deviation from GR,Deviation from DGQG
1.0392156862745097,-5.0,8.01970638137501e-08,7.993574177618986e-08,-8.019706301715004e-08,-7.99357409795898e-08
1.0784313725490193,-5.0,7.67000566873572e-08,7.648107965608394e-08,-7.670005575551672e-08,-7.648107872424346e-08
1.117647058823529,-5.0,7.323522985179874e-08,7.306353259475842e-08,-7.323522914833985e-08,-7.306353189129953e-08
1.1568627450980395,-5.0,6.981230845147098e-08,6.969034673665888e-08,-6.981230825051888e-08,-6.969034653570679e-08
1.1960784313725492,-5.0,6.644036109457604e-08,6.636821478336745e-08,-6.644036027162027e-08,-6.636821396041168e-08
1.2352941176470589,-5.0,6.312777239376419e-08,6.310335440873214e-08,-6.312777124269365e-08,-6.31033532576616e-08
1.2745098039215685,-5.0,5.988222239179593e-08,5.990157452233869e-08,-5.9882221755843e-08,-5.990157388638576e-08
1.3137254901960782,-5.0,5.671067272954389e-08,5.676832618075822e-08,-5.671067214872902e-08,-5.676832559994335e-08
1.3529411764705879,-5.0,5.3619359344139736e-08,5.370873621960545e-08,-5.361935925331496e-08,-5.3708736128780676e-08
1.3921568627450975,-5.0,5.0613791421950755e-08,5.0727622988864976e-08,-5.0613790659546603e-08,-5.0727622226460824e-08
1.431372549019608,-5.0,4.7698756274928456e-08,4.7829494852914985e-08,-4.769875541340304e-08,-4.782949399138957e-08
1.4705882352941178,-5.0,4.487832976015361e-08,4.501853329409095e-08,-4.487832926968621e-08,-4.501853280362355e-08
1.5098039215686274,-5.0,4.2155891821395337e-08,4.229856346313712e-08,-4.2155891375753264e-08,-4.2298563017495045e-08
1.549019607843137,-5.0,3.953414669836326e-08,3.9673015786631434e-08,-3.953414595658331e-08,-3.967301504485148e-08
1.5882352941176467,-5.0,3.7015147324067415e-08,3.714488271975772e-08,-3.7015147191501955e-08,-3.714488258719226e-08
1.6274509803921564,-5.0,3.460032341320579e-08,3.471667489337953e-08,-3.460032231921134e-08,-3.471667379938508e-08
1.666666666666667,-5.0,3.229051273452742e-08,3.239038074454372e-08,-3.22905115495252e-08,-3.2390379559541494e-08
1.7058823529411766,-5.0,3.008599505734162e-08,3.016743326508962e-08,-3.0085993979130664e-08,-3.016743218687866e-08
1.7450980392156863,-5.0,2.7986528266314133e-08,2.804868680610404e-08,-2.7986527561841304e-08,-2.804868610163121e-08
1.784313725490196,-5.0,2.5991386148904175e-08,2.6034406009246798e-08,-2.599138559982945e-08,-2.6034405460172073e-08
1.8235294117647056,-5.0,2.4099397375662077e-08,2.412426798398336e-08,-2.4099397094577906e-08,-2.4124267702899188e-08
1.8627450980392153,-5.0,2.2308985214507964e-08,2.231737789876732e-08,-2.230898460290128e-08,-2.2317377287160635e-08
1.9019607843137258,-5.0,2.0618207545365528e-08,2.061229728242752e-08,-2.0618206813238976e-08,-2.061229655030097e-08
1.9411764705882355,-5.0,1.9024796770462043e-08,1.9007083601733168e-08,-1.9024796038900797e-08,-1.900708287017192e-08
1.9803921568627452,-5.0,1.7526199247516214e-08,1.749933913366103e-08,-1.7526198623754425e-08,-1.749933850989924e-08
2.019607843137255,-5.0,1.6119613907244358e-08,1.6086266805008312e-08,-1.6119613432542808e-08,-1.6086266330306763e-08
