Multipole Moment (l),White Hole Detection Ratio
1549.939879759519,7.944099512854475e-155
1555.931863727455,3.1403980205291535e-156
1561.9238476953908,1.2236901675145101e-157
1567.9158316633268,4.700078652387472e-159
1573.9078156312626,1.779449970646084e-160
1579.8997995991986,6.640695413236276e-162
1585.8917835671343,2.442803766685577e-163
1591.8837675350703,8.85749589874885e-165
1597.875751503006,3.165780606565645e-166
1603.867735470942,1.1153168392112395e-167
1609.8597194388778,3.873141902395508e-169
1615.8517034068138,1.3257949953832462e-170
1621.8436873747496,4.4733952296098396e-172
1627.8356713426856,1.4878056506194905e-173
1633.8276553106214,4.8775674609992974e-175
1639.8196392785571,1.5761901926180562e-176
1645.8116232464931,5.020677420018576e-178
1651.803607214429,1.576392948782416e-179
1657.795591182365,4.878824766209461e-181
1663.7875751503007,1.4883827577386544e-182
1669.7795591182366,4.4757190498380084e-184
1675.7715430861724,1.3266607524047709e-185
1681.7635270541084,3.8761977261005684e-187
1687.7555110220442,1.1163517034654353e-188
1693.7474949899802,3.169168494670928e-190
1699.739478957916,8.868269662196543e-192
1705.731462925852,2.4461428581570306e-193
1711.7234468937877,6.6508048318950554e-195
1717.7154308617235,1.7824450268696552e-196
1723.7074148296595,4.708772755994815e-198
1729.6993987975952,1.2261654027091212e-199
1735.6913827655312,3.1473150108660992e-201
1741.683366733467,7.963083819728213e-203
1747.675350701403,1.985968560845819e-204
1753.6673346693387,4.8821772961860554e-206
1759.6593186372747,1.1830549236860301e-207
1765.6513026052105,2.8258332894828e-209
1771.6432865731465,6.653321671262131e-211
1777.6352705410823,1.5441196289841967e-212
1783.6272545090183,3.5324326396075757e-214
1789.619238476954,7.965580653254558e-216
1795.61122244489,1.7705641916495819e-217
1801.6032064128258,3.879329618121131e-219
1807.5951903807616,8.378234971491059e-221
1813.5871743486975,1.7836076158899285e-222
1819.5791583166333,3.742804186962392e-224
1825.5711422845693,7.741871877129435e-226
1831.563126252505,1.5785051916481414e-227
1837.555110220441,3.1724682736040613e-229
1843.5470941883768,6.284921742967712e-231
1849.5390781563128,1.2273088049831401e-232
1855.5310621242486,2.362431846321641e-234
1861.5230460921846,4.482458354300357e-236
1867.5150300601204,8.383489936879246e-238
1873.5070140280563,1.545557306952223e-239
1879.498997995992,2.8086468161790864e-241
1885.4909819639279,5.031077089769073e-243
1891.4829659318639,8.883348632871421e-245
1897.4749498997996,1.5461242932801628e-246
1903.4669338677356,2.6525533827490176e-248
1909.4589178356714,4.485759248335792e-250
1915.4509018036074,7.477560860036176e-252
1921.4428857715432,1.2286726339796814e-253
1927.4348697394792,1.9900533269629365e-255
1933.426853707415,3.177207715382036e-257
1939.418837675351,5.000102797363111e-259
1945.4108216432867,7.756481346856622e-261
1951.4028056112227,1.1860503613484162e-262
1957.3947895791584,1.787697898096295e-264
1963.3867735470944,2.6560595816517627e-266
1969.3787575150302,3.889862434984553e-268
1975.370741482966,5.61543597714058e-270
1981.362725450902,7.990713983617621e-272
1987.3547094188377,1.120832255597625e-273
1993.3466933867737,1.5497036075837165e-275
1999.3386773547095,2.1120768445990656e-277
2005.3306613226455,2.8374217476921456e-279
2011.3226452905812,3.757432917339611e-281
2017.3146292585172,4.90469268487088e-283
2023.306613226453,6.310817854089234e-285
2029.298597194389,8.004105909277185e-287
