Multipole Moment (l),White Hole B-mode Anisotropy,Inflationary B-mode Spectrum
1304.2685370741483,1.2119364629845486e-111,1.1060194566313853e-09
1310.2605210420843,8.529281505074092e-113,1.0908003241879743e-09
1316.25250501002,5.917086296686579e-114,1.075846859529289e-09
1322.244488977956,4.046375819322834e-115,1.061153363716428e-09
1328.2364729458918,2.7276421242817225e-116,1.046714283643627e-09
1334.2284569138278,1.8124724737023803e-117,1.0325242076946059e-09
1340.2204408817636,1.1871847492976751e-118,1.0185778615465864e-09
1346.2124248496996,7.665280590323562e-120,1.004870104116328e-09
1352.2044088176353,4.878661246769235e-121,9.913959236427925e-10
1358.1963927855713,3.060808289568637e-122,9.781504339012479e-10
1364.188376753507,1.89292955800475e-123,9.65128870543878e-10
1370.180360721443,1.1539729673729183e-124,9.523265875621203e-10
1376.1723446893789,6.934572235281076e-126,9.397390538662093e-10
1382.1643286573146,4.1077743260192875e-127,9.273618499775408e-10
1388.1563126252506,2.398591744526391e-128,9.151906648296878e-10
1394.1482965931864,1.3806034414158477e-129,9.032212926740572e-10
1400.1402805611224,7.833294007763122e-131,8.914496300863274e-10
1406.1322645290581,4.381095917845774e-132,8.798716730700048e-10
1412.1242484969941,2.4153715938508486e-133,8.684835142535286e-10
1418.11623246493,1.3126471681615907e-134,8.572813401775521e-10
1424.108216432866,7.031936108569901e-136,8.462614286691295e-10
1430.1002004008017,3.713339735736463e-137,8.354201462996841e-10
1436.0921843687377,1.932935277451807e-138,8.247539459237484e-10
1442.0841683366734,9.91819855646026e-140,8.142593642956011e-10
1448.0761523046094,5.016619281301837e-141,8.039330197610231e-10
1454.0681362725452,2.5012226125865534e-142,7.937716100215183e-10
1460.060120240481,1.2292958294791106e-143,7.837719099684344e-10
1466.052104208417,5.955569934152752e-145,7.739307695845409e-10
1472.0440881763527,2.844153999197827e-146,7.642451119106933e-10
1478.0360721442887,1.3388926138887936e-147,7.54711931075315e-10
1484.0280561122245,6.212998405703492e-149,7.453282903845263e-10
1490.0200400801605,2.841970707025881e-150,7.360913204708117e-10
1496.0120240480962,1.2814474786194582e-151,7.269982174982187e-10
1502.0040080160322,5.695670843632731e-153,7.180462414221378e-10
1507.995991983968,2.4954669023041314e-154,7.092327143018159e-10
1513.987975951904,1.077758864773186e-155,7.005550186637858e-10
1519.9799599198398,4.588325841380985e-157,6.920105959145058e-10
1525.9719438877758,1.9255276471260516e-158,6.835969448005324e-10
1531.9639278557115,7.965409801444956e-160,6.75311619914638e-10
1537.9559118236475,3.248099676160244e-161,6.67152230246321e-10
1543.9478957915833,1.3056098890599753e-162,6.591164377752402e-10
1549.939879759519,5.1732131423520625e-164,6.512019561061342e-10
1555.931863727455,2.0205526533582617e-165,6.434065491438556e-10
1561.9238476953908,7.779341393006752e-167,6.35728029807197e-10
1567.9158316633268,2.9524214229327514e-168,6.281642587802284e-10
1573.9078156312626,1.1045279846424797e-169,6.207131432999223e-10
1579.8997995991986,4.0732208504159724e-171,6.133726359788759e-10
1585.8917835671343,1.4806828673555072e-172,6.061407336619944e-10
1591.8837675350703,5.3057771248448975e-174,5.990154763160297e-10
1597.875751503006,1.8741261191079592e-175,5.919949459509206e-10
1603.867735470942,6.5254652654315905e-177,5.850772655718995e-10
1609.8597194388778,2.239685353281929e-178,5.78260598161397e-10
1615.8517034068138,7.577490422143572e-180,5.715431456897735e-10
1621.8436873747496,2.527124516092904e-181,5.649231481539763e-10
1627.8356713426856,8.307890129110815e-183,5.583988826432273e-10
1633.8276553106214,2.692264387412996e-184,5.519686624308912e-10
1639.8196392785571,8.6001797265349e-186,5.456308360917003e-10
1645.8116232464931,2.7080719983755286e-187,5.393837866435367e-10
1651.803607214429,8.405735972996986e-189,5.332259307130128e-10
1657.795591182365,2.571900371330035e-190,5.271557177240967e-10
1663.7875751503007,7.757028666034023e-192,5.211716291090792e-10
1669.7795591182366,2.3062135009173447e-193,5.152721775411835e-10
1675.7715430861724,6.758751558338999e-195,5.094559061881559e-10
1681.7635270541084,1.9525236987390443e-196,5.037213879861875e-10
1687.7555110220442,5.560181950060356e-198,4.980672249335512e-10
1693.7474949899802,1.5607902805383608e-199,4.924920474033471e-10
1699.739478957916,4.318798669593242e-201,4.869945134747802e-10
1705.731462925852,1.1779971087585177e-202,4.815733082824039e-10
1711.7234468937877,3.167293786356378e-204,4.762271433827946e-10
1717.7154308617235,8.394509629768329e-206,4.70954756138123e-10
1723.7074148296595,2.19313402706394e-207,4.657549091161254e-10
1729.6993987975952,5.648041423993092e-209,4.606263895059792e-10
1735.6913827655312,1.433816031810037e-210,4.555680085496103e-10
1741.683366733467,3.5879951671227515e-212,4.5057860098797525e-10
1747.675350701403,8.850608396403948e-214,4.4565702452187355e-10
1753.6673346693387,2.1520742942289474e-215,4.4080215928686585e-10
1759.6593186372747,5.158272168332991e-217,4.360129073418771e-10
1765.6513026052105,1.2187485308261808e-218,4.312881921710904e-10
1771.6432865731465,2.8384863865948496e-220,4.266269581987394e-10
1777.6352705410823,6.516619817853218e-222,4.22028170316427e-10
1783.6272545090183,1.4747581761056451e-223,4.174908134226034e-10
1789.619238476954,3.289895467511981e-225,4.130138919738572e-10
1795.61122244489,7.234462070106889e-227,4.085964295476743e-10
1801.6032064128258,1.568170384020605e-228,4.0423746841633975e-10
1807.5951903807616,3.3507583608433094e-230,3.999360691316585e-10
1813.5871743486975,7.057580342896765e-232,3.956913101201934e-10
1819.5791583166333,1.4653164001069814e-233,3.915022872887144e-10
1825.5711422845693,2.9989543051603154e-235,3.87368113639574e-10
1831.563126252505,6.050219698887023e-237,3.832879188957273e-10
1837.555110220441,1.2031930113330413e-238,3.7926084913512384e-10
1843.5470941883768,2.358643558828051e-240,3.752860664342116e-10
1849.5390781563128,4.557767711139679e-242,3.713627485202927e-10
1855.5310621242486,8.681702881440952e-244,3.674900884324902e-10
1861.5230460921846,1.6301235010774402e-245,3.636672941910808e-10
1867.5150300601204,3.0171642774110744e-247,3.598935884749662e-10
1873.5070140280563,5.504783768685054e-249,3.5616820830705463e-10
1879.498997995992,9.900210530553737e-251,3.5249040474733756e-10
1885.4909819639279,1.7551387492318154e-252,3.488594425934478e-10
1891.4829659318639,3.067194646750194e-254,3.452746000884952e-10
1897.4749498997996,5.283650461117488e-256,3.417351686359837e-10
