,Time (s),Filtered Strain
405188,1187008881.322754,3.847048424562327e-21
405189,1187008881.322998,3.965503125273164e-21
405190,1187008881.3232422,3.445567844227862e-21
405209,1187008881.3278809,-4.303468269524296e-21
405210,1187008881.328125,-4.6206415721524704e-21
405211,1187008881.3283691,-4.2996574195937234e-21
405212,1187008881.3286133,-3.637846723399888e-21
405215,1187008881.3293457,-3.904277518480531e-21
405216,1187008881.3295898,-5.037634791967602e-21
405217,1187008881.329834,-6.0733935969561444e-21
405218,1187008881.330078,-6.5383153942802465e-21
405219,1187008881.3303225,-6.247996708369248e-21
405220,1187008881.3305664,-5.41056466571544e-21
405221,1187008881.3308103,-4.517979916771889e-21
405222,1187008881.3310547,-4.081825668531589e-21
405223,1187008881.3312988,-4.356363913741577e-21
405224,1187008881.331543,-5.200175698863326e-21
405225,1187008881.331787,-6.153227194424781e-21
405226,1187008881.3320312,-6.688714646438064e-21
405227,1187008881.3322754,-6.502716191060274e-21
405228,1187008881.3325195,-5.682776214205791e-21
405229,1187008881.3327637,-4.6618874289413906e-21
405230,1187008881.3330078,-3.98175708637002e-21
405231,1187008881.333252,-3.99450382601038e-21
405232,1187008881.333496,-4.666876351083684e-21
405233,1187008881.3337402,-5.5958084118151545e-21
405234,1187008881.3339844,-6.22832792197199e-21
405235,1187008881.3342285,-6.1659199612965784e-21
405236,1187008881.334473,-5.385812646074338e-21
405237,1187008881.3347168,-4.256219871592548e-21
405240,1187008881.3354492,-3.522530132898123e-21
405241,1187008881.3356934,-4.3792897160035815e-21
405242,1187008881.3359375,-5.076134420074107e-21
405243,1187008881.3361816,-5.1325528352470735e-21
405244,1187008881.3364258,-4.412419084613346e-21
405262,1187008881.3408203,3.570407314878795e-21
405263,1187008881.3410645,4.368774798389179e-21
405264,1187008881.3413086,4.4815445936760574e-21
405265,1187008881.3415527,4.020042638805349e-21
405268,1187008881.3422852,3.479815539133818e-21
405269,1187008881.3425293,4.2046521448099465e-21
405270,1187008881.3427734,4.793011866026241e-21
405271,1187008881.3430176,4.6383365574786905e-21
405276,1187008881.3442383,-4.0557553591821486e-21
405277,1187008881.3444824,-3.89228646415504e-21
405282,1187008881.3457031,-4.020839812932802e-21
