Frequency (Hz),White Hole SGWB,LISA Sensitivity
0.9288292250172498,5.123367238453575e-60,1.862723754272924e-40
0.9549044557518077,3.62315181925538e-61,1.9118425426085453e-40
0.9817117022752194,2.3813681253906027e-62,1.9637578875264008e-40
1.0092715146305717,1.4517205391507107e-63,2.0186290096993845e-40
1.0376050197669118,8.1910288544373e-65,2.0766241949610233e-40
1.066733937734857,4.2682470608933084e-66,2.137921310426081e-40
1.0966805983368675,2.049493440681086e-67,2.2027083499962812e-40
1.1274679582449472,9.047579513195076e-69,2.2711840109241796e-40
1.1591196185988857,3.663381879527238e-70,2.343558303203458e-40
1.1916598430985588,1.357194611683857e-71,2.4200531936546328e-40
1.2251135766041177,4.5891142349991794e-73,2.500903286681484e-40
1.2595064642583589,1.4126307767181996e-74,2.586356543786076e-40
1.2948648711459048,3.948175886712228e-76,2.6766750440490352e-40
1.3312159025043078,9.992063528206116e-78,2.7721357879075086e-40
1.3685874245025176,2.283465929028823e-79,2.8730315466957988e-40
1.4070080856026863,4.698620326846681e-81,2.979671760554285e-40
1.4465073385216471,8.679676178739313e-83,3.09238348746033e-40
1.4871154628089538,1.435089612199041e-84,3.2115124062919416e-40
1.5288635880587296,2.1171172274408322e-86,3.337423877000338e-40
1.571783717773161,2.7778659488980346e-88,3.4705040611430102e-40
1.6159087538959191,3.231091388983171e-90,3.6111611062138464e-40
1.661272522034293,3.320395003414565e-92,3.759826397402512e-40
1.7079097973894268,3.0041564478893336e-94,3.916955880622302e-40
1.7558563314144668,2.38448699562757e-96,4.083031460863899e-40
1.8051488792211101,1.6542865354890935e-98,4.258562480163844e-40
1.8558252277555187,9.993757561120172e-101,4.444087279720396e-40
1.907924224765265,5.236752468807939e-103,4.6401748509479255e-40
1.9614858085794296,2.3706964246825927e-105,4.847426580533191e-40
2.0165510387247485,9.233945626383112e-108,5.066478094845724e-40
2.0731621274012313,3.081505151401174e-110,5.2980012093587976e-40
2.1313624718414372,8.772391035420529e-113,5.542705989059958e-40
2.1911966875781475,2.1208743410949357e-115,5.80134292616998e-40
2.2527106426459826,4.3347269028022865e-118,6.074705241849344e-40
2.3159514927431544,7.4543614338431965e-121,6.363631318951255e-40
2.3809677173803583,1.0733852291609674e-123,6.6690072732825724e-40
2.44780915704444,1.2877533895223173e-126,6.991769671258109e-40
2.516527051405389,1.280608548695336e-129,7.332908402283495e-40
2.5871740785959236,1.050071610890968e-132,7.693469714675861e-40
2.6598043955937585,7.061358421892805e-136,8.074559424433195e-40
2.73447367973758,3.872633311035248e-139,8.47734630669381e-40
2.8112391714084612,1.722214975510937e-142,8.903065680286768e-40
2.8901597179095115,6.174126220989566e-146,9.35302319636728e-40
2.9712958185773344,1.773549651495526e-149,9.82859884275613e-40
3.054709671159968,4.0568569113421555e-153,1.0331251176264754e-39
3.1404652194967486,7.342390431488841e-157,1.086252179598551e-39
3.2286282025367337,1.0445559277721789e-160,1.1424040071266927e-39
3.31926620473319,1.1602116055676423e-164,1.2017528138873901e-39
3.412448707852889,9.991632265157926e-169,1.264480618465935e-39
3.5082471442397885,6.624103961628919e-173,1.3307798025945138e-39
3.6067349515740315,3.355984464244365e-177,1.400853701173355e-39
3.7079876291681724,1.289543372692669e-181,1.474917225884442e-39
3.812082795843888,3.729101752371241e-186,1.5531975243104444e-39
3.919100249433402,8.05117386677563e-191,1.635934676580241e-39
4.0291220279513515,1.2871762068283355e-195,1.7233824316776755e-39
4.142232472483898,1.5110461914535357e-200,1.8158089856716854e-39
4.258518291843414,1.2912570368876278e-205,1.9134978042546777e-39
4.378068629038166,7.961070205461304e-211,2.0167484921117062e-39
4.500975129608042,3.508923361705724e-216,2.125877711786811e-39
4.627332011878693,1.0952875186569695e-221,2.241220154864614e-39
4.7572361391878895,2.3978803008262688e-227,2.3631295684456686e-39
4.89078709413959,3.645416448945222e-233,2.4919798400637916e-39
5.028087254942474,3.8092621077142622e-239,2.6281661443726135e-39
5.169241873891604,2.7073074228301703e-245,2.7721061551182623e-39
5.314359158053241,1.2946069311477942e-251,2.924241326115097e-39
5.463550352214876,4.119178560426447e-258,3.0850382451533515e-39
5.616929824163804,8.621616793643806e-265,3.254990064990782e-39
5.774615152359826,1.173183246284958e-271,3.434618015817257e-39
5.9367272160691265,1.0253976277061935e-278,3.6244730038307656e-39
6.1033902880286215,5.685530416933892e-286,3.825137300827775e-39
6.274732129711574,1.9744824547594277e-293,4.037226329989518e-39
6.450884089267699,4.238720747706785e-301,4.2613905533413235e-39
6.631981202212676,5.549464140705463e-309,4.4983174666734815e-39
6.818162294944479,4.369914e-317,4.74873370804223e-39
7.009570091165617,0.0,5.013407286317122e-39
7.206351321293045,0.0,5.293149936609829e-39
7.408656834939568,0.0,5.5888196098082285e-39
7.616641716552891,0.0,5.901323103850912e-39
7.830465404301183,0.0,6.231618844812344e-39
8.050291812295972,0.0,6.580719826327625e-39
8.276289456246351,0.0,6.949696716372264e-39
8.50863158264058,0.0,7.339681140924879e-39
8.747496301554415,0.0,7.751869154584056e-39
8.993066723187614,0.0,8.187524908782956e-39
9.24553109823358,0.0,8.647984528852257e-39
9.50508296218951,0.0,9.134660211821719e-39
9.771921283717996,0.0,9.649044557528657e-39
10.046250617173403,0.0,1.0192715146315703e-38
10.328281259410295,0.0,1.0767339377358053e-38
10.618229410993846,0.0,1.137467958245842e-38
10.916317341936146,0.0,1.2016598430994046e-38
11.22277356208507,0.0,1.2695064642591563e-38
11.537832996296597,0.0,1.3412159025050616e-38
11.861737164524792,0.0,1.4170080856034022e-38
12.194734366967383,0.0,1.4971154628096306e-38
12.537079874409196,0.0,1.5817837177738012e-38
12.889036123908916,0.0,1.6712725220348954e-38
