Frequency (Hz),White Hole B-mode Correlation,Inflationary B-mode Correlation,Cross-Correlation (WH),Cross-Correlation (Inflation)
0.005539709281106401,2.8036125008744243e-29,2.5885330319533295e-28,1.953759100578326e-46,1.803876237086641e-45
0.005695226779712825,1.5795568210237172e-29,1.4993223845287221e-28,1.0396763577001233e-46,9.86865439101339e-46
0.005855110155867244,8.770659759391503e-30,8.558863171811559e-29,5.450237903480684e-47,5.318623883427059e-46
0.006019481973827274,4.7976834412044584e-30,4.813261498409974e-29,2.813456052123306e-47,2.8225913316519147e-46
0.006188468238624382,2.5843469561692728e-30,2.665524842639857e-29,1.4295005034195015e-47,1.4744030770848582e-46
0.006362198492657489,1.3702582329547762e-30,1.452975810709399e-29,7.145865424181681e-48,7.577235705076997e-47
0.006540805914998259,7.148149013806414e-31,7.792442558465664e-30,3.512797511054872e-48,3.8294211230831466e-47
0.006724427423484249,3.6671286118405337e-31,4.109890033817369e-30,1.6973640812076623e-48,1.9023002625516585e-47
0.006913203779678127,1.8492527762860256e-31,2.130710213766804e-30,8.057691211755955e-49,9.284076890098418e-48
0.007107279696773419,9.162089227865686e-32,1.0852921791539375e-30,3.75616079765128e-49,4.449347562493866e-48
0.007306803950529507,4.457645004422667e-32,5.428523021395611e-31,1.7185170202902065e-49,2.0928111588181134e-48
0.007511929493320969,2.1286670879855614e-32,2.665066179950067e-31,7.712790635066343e-50,9.656323241227439e-49
0.007722813571388642,9.971802717735103e-33,1.2835062226622468e-31,3.3937732611760677e-50,4.368246366604405e-49
0.007939617845382276,4.5800397664774613e-33,6.060627577080821e-32,1.46327729021046e-50,1.9363104143495983e-49
0.008162508514287228,2.0613600771446368e-33,2.8043115301174803e-32,6.178672178364763e-51,8.40557737714867e-50
0.00839165644283016,9.086155425909333e-34,1.2707982453398048e-32,2.5534867816248927e-51,3.5713306337840313e-50
0.00862723729246145,3.9200702975881655e-34,5.636562776737181e-33,1.0322385857930736e-51,1.4842278703452792e-50
0.008869431656014705,1.6543732789803345e-34,2.4455584552421716e-33,4.079108913145485e-52,6.029896287097385e-51
0.00911842519614657,6.825435112561377e-35,1.0372869917507196e-33,1.5747528843451742e-52,2.3932110630529208e-51
0.009374408787663,2.7511105474618786e-35,4.298339148659834e-34,5.935219895044976e-53,9.273196256803649e-52
0.009637578663841089,1.0826361614118053e-35,1.738998528320872e-34,2.182458057825843e-53,3.5056018688050685e-52
0.009908136566858666,4.156825099522774e-36,6.864398461769585e-35,7.824180780517179e-54,1.2920508616192507e-52
0.010186289902446875,1.556128510370611e-36,2.6418626886829753e-35,2.7327912994122624e-54,4.639500736449634e-53
