Frequency (Hz),White Hole Total SGWB,White Hole Polarized SGWB,Binary Black Hole Total SGWB,Binary Black Hole Polarized SGWB
0.0019345196537440444,9.685569448243949e-16,2.9056708344731845e-16,2.1541057006316932e-16,2.1541057006316934e-17
0.0019888278569888096,9.241245591821744e-16,2.772373677546523e-16,2.108976256428885e-16,2.1089762564288852e-17
0.0020446606665791177,8.815960827538349e-16,2.6447882482615046e-16,2.0646348997888197e-16,2.0646348997888198e-17
0.002102060883130158,8.408929664911572e-16,2.5226788994734717e-16,2.0210674249589444e-16,2.0210674249589446e-17
0.0021610725088083765,8.019398692974559e-16,2.4058196078923675e-16,1.9782599057450983e-16,1.9782599057450984e-17
0.0022217407810628848,7.646645271438592e-16,2.2939935814315776e-16,1.9361986910701454e-16,1.9361986910701455e-17
0.0022841122073038256,7.289976275083024e-16,2.186992882524907e-16,1.894870400627405e-16,1.894870400627405e-17
0.0023482346005542763,6.948726889206845e-16,2.0846180667620534e-16,1.8542619206269292e-16,1.8542619206269294e-17
0.002414157116103018,6.622259454064699e-16,1.9866778362194097e-16,1.8143603996326654e-16,1.8143603996326654e-17
0.002481930289186255,6.309962356294919e-16,1.8929887068884756e-16,1.775153244488526e-16,1.775153244488526e-17
0.0025516060737271863,6.011248965427961e-16,1.8033746896283881e-16,1.7366281163313587e-16,1.7366281163313588e-17
0.0026232378821631234,5.725556613641958e-16,1.7176669840925874e-16,1.698772926688797e-16,1.698772926688797e-17
0.0026968806263906924,5.452345617006586e-16,1.635703685101976e-16,1.661575833659946e-16,1.661575833659946e-17
0.002772590759860481,5.191098336528385e-16,1.5573295009585153e-16,1.6250252381768394e-16,1.6250252381768393e-17
0.0028504263208534346,4.941318277379237e-16,1.4823954832137709e-16,1.5891097803445491e-16,1.5891097803445492e-17
0.0029304469769721444,4.702529224756038e-16,1.4107587674268113e-16,1.5538183358578205e-16,1.5538183358578207e-17
0.003012714070881164,4.474274414882625e-16,1.3422823244647876e-16,1.5191400124920343e-16,1.5191400124920344e-17
0.0030972906673314067,4.2561157397261087e-16,1.2768347219178325e-16,1.4850641466662857e-16,1.4850641466662856e-17
