Frequency (Hz),Total SGWB,Polarized SGWB
0.3829713914046281,9.840435059299625e-36,2.952130517789887e-36
0.3937226329963479,3.2214970484826963e-36,9.664491145448089e-37
0.4047756965997322,1.0232769996447228e-36,3.0698309989341684e-37
0.41613905533167067,3.1510314735365245e-37,9.453094420609573e-38
0.4278214201767617,9.398488408912659e-38,2.8195465226737976e-38
0.4398317466650224,2.712814424732728e-38,8.138443274198184e-39
0.4521792417370702,7.570753680866182e-39,2.2712261042598546e-39
0.4648733708020257,2.04081681388971e-39,6.122450441669129e-40
0.47792386499356,5.308748975533752e-40,1.5926246926601257e-40
0.4913407286296362,1.331279160990631e-40,3.993837482971893e-41
0.5051342468816766,3.215053287298335e-41,9.645159861895004e-42
0.5193149936590212,7.469475306197434e-42,2.2408425918592303e-42
0.5338938397147355,1.667641845765272e-42,5.002925537295815e-43
0.5488819609789671,3.573887489014979e-43,1.0721662467044937e-43
0.5642908471262537,7.343538590412817e-44,2.203061577123845e-44
0.5801323103833378,1.4450514214034595e-44,4.335154264210378e-45
0.5964184945842459,2.7198642982802806e-45,8.159592894840842e-46
0.6131618844795775,4.8905193350313724e-46,1.4671558005094116e-46
0.6303753153071274,8.389751661645578e-47,2.5169254984936735e-47
0.648071982631197,1.3713759754537019e-47,4.1141279263611053e-48
0.666265452458115,2.1329865139556142e-48,6.3989595418668426e-49
0.6849696716357446,3.15237677880141e-49,9.45713033640423e-50
0.7041989785449289,4.42062687295465e-50,1.326188061886395e-50
0.7239681140910877,5.873339959491598e-51,1.7620019878474792e-51
0.7442922330043759,7.382165847483462e-52,2.2146497542450385e-52
0.7651869154570825,8.76401670385159e-53,2.629205011155477e-53
0.7866681790071581,9.811777745293852e-54,2.9435333235881557e-54
0.8087524908770457,1.0341943284627556e-54,3.1025829853882666e-55
0.8314567805772064,1.02454563266172e-55,3.0736368979851596e-56
0.8547984528840413,9.523120641360717e-57,2.856936192408215e-57
0.878795401182132,8.290276034516468e-58,2.4870828103549402e-58
0.9034660211810535,6.746857008847607e-59,2.024057102654282e-59
0.9288292250172498,5.123367238453575e-60,1.5370101715360725e-60
0.9549044557518077,3.62315181925538e-61,1.0869455457766138e-61
0.9817117022752194,2.3813681253906027e-62,7.144104376171808e-63
1.0092715146305717,1.4517205391507107e-63,4.355161617452132e-64
1.0376050197669118,8.1910288544373e-65,2.45730865633119e-65
1.066733937734857,4.2682470608933084e-66,1.2804741182679925e-66
1.0966805983368675,2.049493440681086e-67,6.148480322043258e-68
1.1274679582449472,9.047579513195076e-69,2.714273853958523e-69
1.1591196185988857,3.663381879527238e-70,1.0990145638581714e-70
1.1916598430985588,1.357194611683857e-71,4.071583835051571e-72
1.2251135766041177,4.5891142349991794e-73,1.3767342704997538e-73
1.2595064642583589,1.4126307767181996e-74,4.2378923301545986e-75
1.2948648711459048,3.948175886712228e-76,1.1844527660136684e-76
1.3312159025043078,9.992063528206116e-78,2.9976190584618345e-78
