Multipole Moment (l),CMB-S4 SNR,LISA SGWB SNR,Joint Detectability SNR
980.7014028056113,3.399069106188594e-52,1.125890461855456e-145,3.399069106188594e-52
986.6933867735472,5.207618233193027e-53,2.045653507238755e-146,5.207618233193027e-53
992.685370741483,7.864681548714252e-54,1.6158351330444017e-146,7.864681548714252e-54
998.6773547094189,1.170808870194251e-54,1.1860167588500399e-146,1.170808870194251e-54
1004.6693386773547,1.7181209147670393e-55,7.561983846556782e-147,1.7181209147670393e-55
1010.6613226452906,2.485331382250643e-56,3.263800104613166e-147,2.485331382250643e-56
1016.6533066132265,3.5438696670252963e-57,8.291044785039418e-148,3.5438696670252963e-57
1022.6452905811624,4.9812006699873184e-58,6.453689501061784e-148,4.9812006699873184e-58
1028.6372745490983,6.901654155760122e-59,4.616334217084148e-148,6.901654155760122e-59
1034.629258517034,9.426168666235359e-60,2.7789789331065475e-148,9.426168666235359e-60
1040.62124248497,1.269053931188544e-60,9.416236491288781e-149,1.269053931188544e-60
1046.6132264529058,1.684177300772007e-61,3.4057820178535976e-149,1.684177300772007e-61
1052.6052104208418,2.203222708515482e-62,2.631569961645142e-149,2.203222708515482e-62
1058.5971943887776,2.8411348501465863e-63,1.8573579054367152e-149,2.8411348501465863e-63
1064.5891783567135,3.611504448285111e-64,1.0831458492282593e-149,3.611504448285111e-64
1070.5811623246493,4.525299415749968e-65,3.089337930198328e-150,4.525299415749968e-65
1076.5731462925853,5.589453449123721e-66,1.422243966890974e-150,5.589453449123721e-66
1082.565130260521,6.805408923386376e-67,1.1006666518691216e-150,6.805408923386376e-67
1088.557114228457,8.16774118286678e-68,7.790893368472572e-151,8.16774118286678e-68
1094.5490981963928,9.66301307992831e-69,4.5751202182540486e-151,9.66301307992831e-69
1100.5410821643288,1.1269016789612137e-69,1.3593470680354057e-151,1.1269016789612137e-69
1106.5330661322646,1.2954550344120352e-70,6.039970971978883e-152,1.2954550344120352e-70
1112.5250501002006,1.4679846652114966e-71,4.723323129470709e-152,1.4679846652114966e-71
1118.5170340681364,1.6397723284565932e-72,3.4066752869625846e-152,1.6397723284565932e-72
1124.5090180360721,1.8055455381619978e-73,2.0900274444544604e-152,1.8055455381619978e-73
1130.5010020040081,1.9597298063219047e-74,7.733796019462866e-153,1.9597298063219047e-74
1136.4929859719439,2.0967507562649193e-75,2.602215961999547e-153,2.0967507562649193e-75
1142.4849699398799,2.2113642141674202e-76,2.0708268217359194e-153,2.2113642141674202e-76
1148.4769539078156,2.298987472847092e-77,1.539437681472312e-153,2.298987472847092e-77
1154.4689378757516,2.3560027388926066e-78,1.0080485412086844e-153,2.3560027388926066e-78
1160.4609218436874,2.380004815631412e-79,4.76659400945077e-154,2.380004815631412e-79
1166.4529058116234,2.369969403282081e-80,1.1322081805195692e-154,2.369969403282081e-80
1172.4448897795592,2.3263256074553965e-81,9.208035011801816e-155,2.3263256074553965e-81
1178.4368737474952,2.250925504130587e-82,7.09398821840786e-155,2.250925504130587e-82
1184.428857715431,2.1469137689101988e-83,4.9799414250139844e-155,2.1469137689101988e-83
1190.420841683367,2.0185101576393583e-84,2.865894631620029e-155,2.0185101576393583e-84
1196.4128256513027,1.870725799848994e-85,7.51847838226153e-156,1.870725799848994e-85
1202.4048096192387,1.709039856395008e-86,4.1182401318413857e-156,1.709039856395008e-86
1208.3967935871744,1.5390655062129904e-87,3.2892001852709815e-156,1.5390655062129904e-87
1214.3887775551102,1.3662333340284407e-88,2.4601602387005773e-156,1.3662333340284407e-88
1220.3807615230462,1.1955163180248578e-89,1.6311202921301415e-156,1.1955163180248578e-89
1226.372745490982,1.0312144691083456e-90,8.020803455597373e-157,1.0312144691083456e-90
1232.364729458918,8.768097013433423e-92,1.8385115551098326e-157,8.768097013433423e-92
1238.3567134268537,7.348937490412408e-93,1.518035697244765e-157,7.348937490412408e-93
1244.3486973947897,6.071648464571454e-94,1.1975598393796857e-157,6.071648464571454e-94
1250.3406813627255,4.9448320229626255e-95,8.770839815146184e-158,4.9448320229626255e-95
1256.3326653306615,3.9697149781255995e-96,5.566081236495388e-158,3.9697149781255995e-96
1262.3246492985973,3.141448666290755e-97,2.3613226578447166e-158,3.141448666290755e-97
1268.3166332665332,2.450549432282315e-98,6.921653015189874e-159,2.450549432282315e-98
1274.308617234469,1.8843424252369384e-99,5.700488319353271e-159,1.8843424252369384e-99
1280.300601202405,1.4282987086709978e-100,4.4793236235166216e-159,1.4282987086709978e-100
1286.2925851703408,1.0671884578985616e-101,3.258158927680019e-159,1.0671884578985616e-101
1292.2845691382765,7.860063490481529e-103,2.036994231843416e-159,7.860063490481529e-103
1298.2765531062125,5.7065528971777e-104,8.158295360067669e-160,5.7065528971777e-104
1304.2685370741483,4.083988393615421e-105,2.6446712547125786e-160,4.083988393615421e-105
1310.2605210420843,2.8810978585986036e-106,2.1859886393245763e-160,2.8810978585986036e-106
1316.25250501002,2.0035232138832366e-107,1.7273060239365914e-160,2.0035232138832366e-107
1322.244488977956,1.3733891323547268e-108,1.2686234085485888e-160,1.3733891323547268e-108
1328.2364729458918,9.280164890379324e-110,8.099407931606039e-161,9.280164890379324e-110
1334.2284569138278,6.18131161281336e-111,3.5125817777260158e-161,6.18131161281336e-111
1340.2204408817636,4.05852701793031e-112,1.0248545594774394e-161,4.05852701793031e-112
1346.2124248496996,2.626752194042711e-113,8.550264808984938e-162,2.626752194042711e-113
1352.2044088176353,1.6758402790842152e-114,6.851984023195546e-162,1.6758402790842152e-114
1358.1963927855713,1.0539232953720004e-115,5.15370323740609e-162,1.0539232953720004e-115
1364.188376753507,6.533535303983492e-117,3.4554224516166983e-162,6.533535303983492e-117
1370.180360721443,3.992549772410412e-118,1.7571416658272417e-162,3.992549772410412e-118
1376.1723446893789,2.4050011826379227e-119,4.016103685082892e-163,2.4050011826379227e-119
1382.1643286573146,1.428048996127596e-120,3.3962831729770945e-163,1.428048996127596e-120
1388.1563126252506,8.358604586140182e-122,2.776462660871274e-163,8.358604586140182e-122
1394.1482965931864,4.822667408177735e-123,2.156642148765477e-163,4.822667408177735e-123
1400.1402805611224,2.7428603849045005e-124,1.536821636659656e-163,2.7428603849045005e-124
1406.1322645290581,1.5377401383119188e-125,9.170011245538587e-164,1.5377401383119188e-125
1412.1242484969941,8.49816301549691e-127,2.9718061244803775e-164,8.49816301549691e-127
1418.11623246493,4.629456667901261e-128,1.3613749669069067e-164,4.629456667901261e-128
1424.108216432866,2.4859812446428144e-129,1.138386869912821e-164,2.4859812446428144e-129
1430.1002004008017,1.3159171009524445e-130,9.153987729187438e-165,1.3159171009524445e-130
1436.0921843687377,6.866288899787469e-132,6.924106759246581e-165,6.866288899787469e-132
1442.0841683366734,3.531656635064333e-133,4.694225789305808e-165,3.531656635064333e-133
1448.0761523046094,1.7905965014651785e-134,2.4643448193649523e-165,1.7905965014651785e-134
1454.0681362725452,8.949110057567749e-136,5.46967152187759e-166,8.949110057567749e-136
1460.060120240481,4.408844944226173e-137,4.678889547915224e-166,4.408844944226173e-137
