Frequency (Hz),SGWB Anisotropy,CMB B-mode Correlation,Cross-Correlation
0.003657010880777493,1.568406599339005e-17,3.4192001076232935e-26,5.36269601325701e-43
0.003759674965785468,1.4892374341082963e-17,2.2974969151729008e-26,3.421518410823817e-43
0.003865221162631262,1.413657035946856e-17,1.529019665591063e-26,2.1615094083639152e-43
0.003973730381485609,1.34151487140779e-17,1.0075852277986689e-26,1.35169056730272e-43
0.004085285803928565,1.272666547981531e-17,6.572652641715716e-27,8.36479514861403e-44
0.004199972946715306,1.2069735623169129e-17,4.24293071945873e-27,5.121105205128966e-44
0.004317879727332021,1.1443030587011784e-17,2.7097566885184277e-27,3.100782867007613e-44
0.004439096531392171,1.0845275973845076e-17,1.7116024666305277e-27,1.856280110812203e-44
0.0045637162819247585,1.0275249323517182e-17,1.0689299383178188e-27,1.098352162558743e-44
0.004691834510607799,9.731777981601326e-18,6.598284119553506e-28,6.42130361110205e-45
0.004823549431001467,9.213737054784006e-18,4.024445393301169e-28,3.7080181645213774e-45
0.004958962013837212,8.720047449760238e-18,2.4245332871648084e-28,2.1142045307600295e-45
0.005098176064420424,8.249673992279067e-18,1.4422716767852713e-28,1.1898271141776174e-45
0.0052412983022060615,7.801623623120585e-18,8.468535616606882e-29,6.60683275197583e-46
0.005388438442608223,7.374943667918956e-18,4.906288161380005e-29,3.61835988087552e-46
0.005539709281106401,6.968720177873953e-18,2.8036125008744243e-29,1.953759100578326e-46
0.005695226779712825,6.582076338515666e-18,1.5795568210237172e-29,1.0396763577001233e-46
0.005855110155867244,6.214170943804591e-18,8.770659759391503e-30,5.450237903480684e-47
0.006019481973827274,5.8641969329618544e-18,4.7976834412044584e-30,2.813456052123306e-47
0.006188468238624382,5.53137998753241e-18,2.5843469561692728e-30,1.4295005034195015e-47
0.006362198492657489,5.214977186287428e-18,1.3702582329547762e-30,7.145865424181681e-48
0.006540805914998259,4.914275715671315e-18,7.148149013806414e-31,3.512797511054872e-48
0.006724427423484249,4.62859163359355e-18,3.6671286118405337e-31,1.6973640812076623e-48
0.006913203779678127,4.3572686844568324e-18,1.8492527762860256e-31,8.057691211755955e-49
0.007107279696773419,4.099677163399859e-18,9.162089227865686e-32,3.75616079765128e-49
0.007306803950529507,3.855212827816424e-18,4.457645004422667e-32,1.7185170202902065e-49
0.007511929493320969,3.623295854292204e-18,2.1286670879855614e-32,7.712790635066343e-50
0.007722813571388642,3.4033698391767784e-18,9.971802717735103e-33,3.3937732611760677e-50
0.007939617845382276,3.194900841081291e-18,4.5800397664774613e-33,1.46327729021046e-50
