Time (s),Observed Photon Flux,Approx. Photon Energy (MeV),Predicted Time Delay (s)
118.7365,6.96614748e-09,0.0069661474800000005,3.9606233189495384e-07
119.9665,6.50952052e-09,0.00650952052,4.0016517026589107e-07
121.19749999999999,6.92615088e-09,0.00692615088,4.042713442777803e-07
122.4135,7.726446e-09,0.0077264460000000005,4.0832748367538985e-07
123.55449999999999,7.3955974e-09,0.0073955974,4.1213345000160073e-07
124.6465,7.89102836e-09,0.007891028360000002,4.157759699211646e-07
125.6874,8.3604464e-09,0.0083604464,4.1924803858808214e-07
126.70150000000001,6.33322576e-09,0.00633322576,4.2263071207748664e-07
127.76849999999999,6.008479e-09,0.006008479,4.2618984097325084e-07
128.9255,6.11401876e-09,0.00611401876,4.300491775546935e-07
130.0805,6.07907024e-09,0.00607907024,4.339018428542322e-07
130.983,8.85965452e-09,0.00885965452,4.369122588133955e-07
131.8675,6.20781764e-09,0.00620781764,4.3986263323542316e-07
133.0665,5.9896466e-09,0.0059896466,4.43862066736849e-07
134.1075,6.62104464e-09,0.00662104464,4.473344689678617e-07
135.1175,6.18336756e-09,0.00618336756,4.507034663293631e-07
136.0863,8.49696528e-09,0.008496965280000001,4.539350352836428e-07
137.18449999999999,5.304578e-09,0.005304578,4.5759823617710885e-07
138.4505,5.27697376e-09,0.0052769737599999995,4.6182115762231755e-07
139.6925,5.29826256e-09,0.005298262559999999,4.6596402368467855e-07
140.9765,5.7424402e-09,0.0057424402,4.7024698666702277e-07
142.0965,6.56043564e-09,0.00656043564,4.739829045332421e-07
143.3525,4.47873988e-09,0.00447873988,4.781724695689309e-07
144.8605,4.87962436e-09,0.004879624359999999,4.832026161245191e-07
146.1075,4.79352576e-09,0.0047935257599999994,4.873621603916399e-07
147.59449999999998,5.07263688e-09,0.00507263688,4.923222584872364e-07
149.0885,4.44159484e-09,0.00444159484,4.97305706069497e-07
150.3545,5.65886208e-09,0.005658862079999999,5.015286275147056e-07
151.5225,5.98189648e-09,0.00598189648,5.0542465614662e-07
152.7245,4.19577328e-09,0.00419577328,5.094340965709018e-07
154.4655,4.49139568e-09,0.00449139568,5.152414474683015e-07
155.9585,4.24665636e-09,0.00424665636,5.2022155940961e-07
157.42849999999999,4.73597124e-09,0.00473597124,5.251249516090228e-07
158.85649999999998,3.96985212e-09,0.00396985212,5.298882468884524e-07
159.94709999999998,4.61353216e-09,0.00461353216,5.335260969106834e-07
160.5865,4.02590432e-09,0.00402590432,5.356589057353805e-07
161.1594,4.5253118e-09,0.0045253118,5.375698944367706e-07
161.7504,3.409037132e-09,0.003409037132,5.395412582393918e-07
162.2869,4.48478476e-09,0.00448478476,5.413308296101298e-07
162.96089999999998,3.82878712e-09,0.0038287871200000006,5.435790516117653e-07
163.5478,5.00791608e-09,0.00500791608,5.455367392864834e-07
164.18599999999998,3.88888704e-09,0.00388888704,5.476655453420379e-07
164.7912,4.57094032e-09,0.0045709403199999995,5.496842752461771e-07
165.4056,3.7326244e-09,0.0037326243999999996,5.517336930470746e-07
166.08139999999997,4.31852208e-09,0.00431852208,5.539879192024236e-07
166.68110000000001,4.1848868e-09,0.0041848868,5.559883030813271e-07
167.35399999999998,4.15020172e-09,0.00415020172,5.582328558779153e-07
167.9183,3.445261556e-09,0.0034452615559999998,5.601151580671185e-07
168.4812,4.32969336e-09,0.00432969336,5.61992790358989e-07
169.09910000000002,4.60858376e-09,0.00460858376,5.640538829032184e-07
169.67399999999998,3.435308508e-09,0.003435308508,5.659715428865125e-07
170.2244,3.532076428e-09,0.0035320764280000003,5.678074796664831e-07
170.7928,4.35360944e-09,0.0043536094400000004,5.697034579835894e-07
